@relation 'readsb-hist_filtered_by_Taiwan_manual_edges-weka.filters.unsupervised.attribute.Remove-R1-11,14,16-18,20-29_clustered'

@attribute Instance_number numeric
@attribute gs numeric
@attribute track numeric
@attribute squawk numeric
@attribute nav_heading numeric
@attribute ecef_x numeric
@attribute ecef_y numeric
@attribute ecef_z numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
166,477,188.32,2604,201.09,-2953926.341526,5078617.693506,2487394.096733,cluster3
167,477,188.32,2604,201.09,-2954025.553499,5079113.593197,2486361.236653,cluster3
168,477,188.32,2604,201.09,-2954130.961529,5079662.224914,2485212.701223,cluster3
169,176.3,50.98,6262,54.14,-2994840.011783,4932076.245469,2702292.265768,cluster19
170,179.8,50.64,6262,54.14,-2995155.104701,4931716.01745,2702636.398858,cluster19
171,184.1,50.95,6262,54.14,-2995434.826995,4931416.703717,2702944.392018,cluster19
172,194,50.65,6262,54.14,-2995777.717577,4931066.624524,2703310.808667,cluster19
173,197.6,50.75,6262,54.14,-2996033.242531,4930774.091645,2703597.120871,cluster19
174,205.4,50.73,6262,54.14,-2996296.52235,4930497.257099,2703882.040886,cluster19
175,211.8,50.75,6262,54.14,-2996617.3622,4930147.449339,2704236.135269,cluster15
176,218.2,50.77,6262,54.14,-2996748.171041,4930010.791522,2704376.225381,cluster15
177,228.8,48.37,6262,54.14,-2997184.2792,4929512.41052,2704873.192449,cluster15
178,234.1,46.56,6262,52.03,-2997501.745623,4929147.286233,2705276.518708,cluster15
179,236.2,45.34,6262,52.03,-2997735.906818,4928893.445479,2705587.219817,cluster15
180,240.4,45,6262,52.03,-2998148.82938,4928427.461001,2706157.94142,cluster15
181,243.2,45,6262,49.92,-2998438.297201,4928095.287524,2706567.719723,cluster15
182,244.7,45,6262,49.92,-2998762.253321,4927751.072711,2707014.890449,cluster15
183,244,44.83,6262,49.92,-2999105.581914,4927477.839898,2707472.671354,cluster15
184,246.1,44.67,6262,49.92,-2999431.818014,4927166.864391,2707928.260915,cluster15
185,310.8,74.13,6262,78.75,-3005857.815844,4921841.843913,2713135.791715,cluster15
186,314.3,73.93,6262,78.75,-3006467.872146,4921445.85899,2713357.160349,cluster15
187,318,73.56,6262,78.75,-3007138.882367,4921025.316729,2713608.998204,cluster15
188,319.2,73.44,6262,78.75,-3007823.553976,4920591.231916,2713869.998557,cluster15
189,320.8,73.15,6262,78.75,-3008488.198675,4920162.219382,2714125.844589,cluster15
190,324.2,72.96,6262,78.75,-3009153.079999,4919749.807758,2714386.874587,cluster15
191,328,72.61,6262,78.75,-3009802.368691,4919311.913609,2714639.556875,cluster15
192,332.4,72.49,6262,78.75,-3010480.179009,4918840.621317,2714902.985632,cluster15
193,334.6,72.43,6262,78.75,-3011156.381208,4918387.162056,2715171.396899,cluster15
194,336.8,72.37,6262,78.75,-3011796.526684,4917932.661546,2715427.756466,cluster15
