year,month,date,hour,minute,second,hex,flight,t,alt_baro,alt_geom,gs,track,geom_rate,squawk,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,lat,lon,nic,rc,track,nic_baro,nac_p,nac_v,sil,sil_type
2025,04,01,00,23,00,8990a1,MDA1857 ,B738,24750,26000,433.2,198.43,576,2604,1013.6,26016,26000,210.94,23.459535,120.323639,8,186,198.43,1,10,2,3,perhour
2025,04,01,00,23,05,8990a1,MDA1857 ,B738,24800,26050,436.4,198.43,576,2604,1013.6,26016,26000,210.94,23.450546,120.320368,8,186,198.43,1,10,2,3,perhour
2025,04,01,00,23,10,8990a1,MDA1857 ,B738,24850,26075,439.6,198.43,608,2604,1013.6,26016,26000,210.94,23.44043,120.316723,8,186,198.43,1,10,2,3,perhour
2025,04,01,00,23,15,8990a1,MDA1857 ,B738,24875,26125,442.7,198.43,544,2604,1013.6,26016,26000,210.94,23.430533,120.31311,8,186,198.43,1,10,2,3,perhour
2025,04,01,00,23,20,8990a1,MDA1857 ,B738,24900,26150,444.9,198.48,544,2604,1013.6,26016,26000,210.94,23.420654,120.309531,8,186,198.48,1,10,2,3,perhour
2025,04,01,00,23,25,8990a1,MDA1857 ,B738,24950,26225,448.1,198.48,704,2604,1013.6,26016,26000,210.94,23.411041,120.306086,8,186,198.48,1,10,2,3,perhour
2025,04,01,00,23,30,8990a1,MDA1857 ,B738,25000,26275,450.0,198.39,704,2604,1013.6,26016,26000,210.94,23.402462,120.302989,8,186,198.39,1,10,2,3,perhour
2025,04,01,00,23,35,8990a1,MDA1857 ,B738,25125,26400,450.9,198.35,1664,2604,1013.6,26016,26000,210.94,23.390625,120.298695,8,186,198.35,1,10,2,3,perhour
2025,04,01,00,23,40,8990a1,MDA1857 ,B738,25300,26575,450.9,198.35,1664,2604,1013.6,26016,26000,210.23,23.3806,120.295099,8,186,198.35,1,10,2,3,perhour
2025,04,01,00,23,45,8990a1,MDA1857 ,B738,25450,26725,449.0,198.43,2496,2604,1013.6,26016,26000,210.23,23.372668,120.292257,8,186,198.43,1,10,2,3,perhour
2025,04,01,00,23,50,8990a1,MDA1857 ,B738,25700,26975,447.8,198.35,2752,2604,1013.6,26016,26000,210.23,23.36103,120.288035,8,186,198.35,1,10,2,3,perhour
2025,04,01,00,23,55,8990a1,MDA1857 ,B738,25850,27200,446.8,198.39,1440,2604,1013.6,26016,26000,210.23,23.350975,120.284424,8,186,198.39,1,10,2,3,perhour
2025,04,01,00,24,00,8990a1,MDA1857 ,B738,25925,27275,446.8,198.39,1024,2604,1013.6,26016,26000,210.23,23.342083,120.281219,8,186,198.39,1,10,2,3,perhour
2025,04,01,00,24,05,8990a1,MDA1857 ,B738,26000,27350,446.8,198.39,544,2604,1013.6,26016,26000,210.23,23.333378,120.278066,8,186,198.39,1,10,2,3,perhour
2025,04,01,00,24,10,8990a1,MDA1857 ,B738,26025,27375,447.1,198.52,192,2604,1013.6,26016,26000,210.23,23.323556,120.274556,8,186,198.52,1,10,2,3,perhour
2025,04,01,00,24,15,8990a1,MDA1857 ,B738,26025,27375,447.5,198.64,-64,2604,1013.6,26016,26000,210.23,23.312256,120.27043,8,186,198.64,1,10,2,3,perhour
2025,04,01,00,24,20,8990a1,MDA1857 ,B738,26025,27400,448.4,198.6,-192,2604,1013.6,26016,26000,210.23,23.301955,120.266673,8,186,198.6,1,10,2,3,perhour
