year,month,day,hour,minute,second,hex,flight,t,alt_baro,alt_geom,gs,track,geom_rate,squawk,nav_qnh,nav_altitude_mcp,nav_altitude_fms,nav_heading,lat,lon,nic,rc,nic_baro,nac_p,nac_v,sil,sil_type,geohash,ecef_x,ecef_y,ecef_z,cluster
2025,4,1,0,18,55,89904b,CAL154,B738,2400,2650,201.5,51.65,832,2655,1019.2,8992,9008,54.14,25.113647,121.292013,8,186,1,10,2,3,perhour,wsqqb5f1sg05,-2996660.7749415147,4930189.211340273,2704291.434176887,39
2025,4,1,0,19,0,8990a1,MDA1857,B738,17500,18300,345.6,198.38,2720,2604,1013.6,20000,20000,208.83,23.862165,120.470374,8,186,1,10,2,3,perhour,wsjxtrgz5jvw,-2957119.705207522,5026134.109820229,2579566.6125832163,29
2025,4,1,0,19,0,89904b,CAL154,B738,2525,2775,205.5,51.12,832,2655,1019.2,8992,9008,54.14,25.116189,121.295488,8,186,1,10,2,3,perhour,wsqqbhk8mszp,-2996915.379765117,4929934.40526374,2704563.572958793,39
2025,4,1,0,19,5,8990a1,MDA1857,B738,17775,18575,346.6,198.33,2720,2604,1013.6,20000,20000,208.83,23.853104,120.467122,8,186,1,10,2,3,perhour,wsjxtq36rkue,-2957080.1052151485,5026719.569607761,2578678.255614121,29
2025,4,1,0,19,5,89904b,CAL154,B738,2725,2975,209.0,48.69,1984,2655,1019.2,8992,9008,54.14,25.119781,121.300201,8,186,1,10,2,3,perhour,wsqqbkbj7d96,-2997261.4743179493,4929590.144337441,2704951.1412279774,39
2025,4,1,0,19,10,8990a1,MDA1857,B738,17925,18750,347.9,198.43,2400,2604,1013.6,22016,20000,208.83,23.847061,120.464935,8,186,1,10,2,3,perhour,wsjxtjpzhqmg,-2957050.843840769,5027108.886593422,2578084.703903082,29
2025,4,1,0,19,10,89904b,CAL154,B738,2925,3150,210.4,48.28,1984,2655,1019.2,8992,9008,54.14,25.122757,121.303762,8,186,1,10,2,3,perhour,wsqqbm6wwt2d,-2997519.937486911,4929325.063627845,2705273.4450197867,39
2025,4,1,0,19,15,8990a1,MDA1857,B738,18175,19000,350.1,198.49,2368,2604,1013.6,24000,24000,208.83,23.837399,120.461409,8,186,1,10,2,3,perhour,wsjxt5mqfm0z,-2956997.162208869,5027725.606172253,2577131.936887589,29
2025,4,1,0,19,15,89904b,CAL154,B738,3150,3375,213.6,45.76,1984,2655,1019.2,8992,9008,49.92,25.126244,121.307822,8,186,1,10,2,3,perhour,wsqqbqjdvpk5,-2997815.9288380328,4929025.018112358,2705653.669864481,39
2025,4,1,0,19,20,8990a1,MDA1857,B738,18375,19225,351.0,198.43,2464,2604,1013.6,24000,24000,210.23,23.829858,120.458662,8,186,1,10,2,3,perhour,wsjxt456fr2x,-2956959.824602273,5028213.783736763,2576391.933404033,29
2025,4,1,0,19,20,89904b,CAL154,B738,3250,3500,222.0,45.0,1984,2655,1019.2,8992,9008,49.92,25.130201,121.312123,8,186,1,10,2,3,perhour,wsqqbwbf1350,-2998106.7338298745,4928669.782829581,2706068.27113597,39
2025,4,1,0,19,25,8990a1,MDA1857,B738,18550,19375,352.6,198.69,1824,2604,1013.6,24000,24000,210.23,23.82227,120.455915,8,186,1,10,2,3,perhour,wsjxt09qf2bp,-2956912.870422224,5028685.682863008,2575637.8502480225,29
2025,4,1,0,19,25,89904b,CAL154,B738,3350,3600,227.7,44.64,1984,2655,1019.2,8992,9008,49.22,25.1336,121.315855,8,186,1,10,2,3,perhour,wsqqbx7tb69g,-2998358.658216864,4928360.907365236,2706423.4460323225,39
2025,4,1,0,19,30,8990a1,MDA1857,B738,18700,19550,356.7,198.64,1472,2604,1013.6,24000,24000,210.23,23.814423,120.452983,8,186,1,10,2,3,perhour,wsjxkzr1jfjy,-2956859.022421193,5029183.095577937,2574860.415582494,29
2025,4,1,0,19,30,89904b,CAL154,B738,3425,3675,234.8,44.65,1120,2655,1019.2,8992,9008,49.22,25.136952,121.319482,8,186,1,10,2,3,perhour,wsqr08n1kg6r,-2998599.080950647,4928053.5002667885,2706770.6457740003,39
2025,4,1,0,19,35,8990a1,MDA1857,B738,18825,19700,359.9,198.64,1600,2604,1013.6,24000,24000,210.23,23.806675,120.450163,8,186,1,10,2,3,perhour,wsjxkvv5ujz5,-2956809.123451917,5029664.802547177,2574089.924565643,29
2025,4,1,0,19,35,89904b,CAL154,B738,3525,3775,241.1,45.17,1120,2655,1019.2,8992,9008,49.22,25.14093,121.323853,8,186,1,10,2,3,perhour,wsqr0bc2d9j9,-2998891.6631623767,4927687.749718107,2707184.10121286,39
2025,4,1,0,19,40,8990a1,MDA1857,B738,19000,19875,363.0,198.63,1792,2604,1013.6,24000,24000,210.23,23.798172,120.447032,8,186,1,10,2,3,perhour,wsjxku6f7kb9,-2956752.545156029,5030197.721522108,2573245.5633031903,29
2025,4,1,0,19,40,89904b,CAL154,B738,3725,3950,243.3,45.67,2528,2655,1019.2,8992,9008,49.92,25.145331,121.32881,8,186,1,10,2,3,perhour,wsqr0csfnjmy,-2999234.9523233543,4927291.884449366,2707649.847015126,39
2025,4,1,0,19,45,8990a1,MDA1857,B738,19100,19975,365.2,198.68,1760,2604,1013.6,24000,24000,210.23,23.791871,120.444774,8,186,1,10,2,3,perhour,wsjxkg1jwwhy,-2956711.8113589906,5030582.224735096,2572616.1686269008,29
2025,4,1,0,19,45,89904b,CAL154,B738,3925,4175,245.4,45.83,2624,2655,1019.2,8992,9008,49.92,25.149148,121.333163,8,186,1,10,2,3,perhour,wsqr14207sgx,-2999547.7650319617,4926962.945776174,2708063.26740687,39
2025,4,1,0,19,50,8990a1,MDA1857,B738,19275,20175,369.4,198.63,1760,2604,1013.6,24000,24000,210.23,23.783166,120.441561,8,186,1,10,2,3,perhour,wsjxk9wfgz3p,-2956655.9663342647,5031133.035276273,2571754.183967468,29
2025,4,1,0,19,55,8990a1,MDA1857,B738,19450,20325,370.3,198.58,1760,2604,1013.6,24000,24000,210.23,23.774786,120.438503,8,186,1,10,2,3,perhour,wsjxk8hdht2f,-2956599.1628486617,5031651.149729143,2570919.0829274235,29
2025,4,1,0,20,0,8990a1,MDA1857,B738,19650,20575,372.2,198.48,2240,2604,1013.6,24000,24000,210.23,23.7659,120.435282,8,186,1,10,2,3,perhour,wsjxhw6q3kz5,-2956553.56434046,5032221.201338933,2570044.654398568,29
2025,4,1,0,20,5,8990a1,MDA1857,B738,19800,20700,373.1,198.43,2144,2604,1013.6,24000,24000,210.23,23.758633,120.432647,8,186,1,10,2,3,perhour,wsjxht0kh44q,-2956504.881851025,5032668.249117937,2569319.725346552,29
2025,4,1,0,20,10,8990a1,MDA1857,B738,20000,20925,375.4,198.48,2144,2604,1013.6,24000,24000,210.23,23.749602,120.429382,8,186,1,10,2,3,perhour,wsjxh7mzryxy,-2956454.957973443,5033239.974353526,2568427.307058273,29
2025,4,1,0,20,15,8990a1,MDA1857,B738,20200,21150,375.4,198.48,2144,2604,1013.6,24000,24000,210.23,23.741269,120.426325,8,186,1,10,2,3,perhour,wsjxh3gybv26,-2956407.3429449336,5033773.888640174,2567605.9230508404,29
2025,4,1,0,20,20,8990a1,MDA1857,B738,20450,21400,375.0,198.34,2880,2604,1013.6,24000,24000,210.94,23.732517,120.423215,8,186,1,10,2,3,perhour,wsjxh23ebmc6,-2956368.0014634207,5034332.648462981,2566744.839024535,29
2025,4,1,0,20,25,8990a1,MDA1857,B738,20675,21650,374.1,198.39,2976,2604,1013.6,24000,24000,210.94,23.724426,120.420278,8,186,1,10,2,3,perhour,wsjwunzkgce3,-2956328.7575767194,5034856.856183078,2565951.032123628,29
2025,4,1,0,20,30,8990a1,MDA1857,B738,20925,21900,374.1,198.39,2976,2604,1013.6,24000,24000,210.94,23.716177,120.417308,8,186,1,10,2,3,perhour,wsjwujmhwxud,-2956290.094356515,5035388.782955299,2565141.0524110585,29
2025,4,1,0,20,35,8990a1,MDA1857,B738,21175,22175,372.2,198.48,3072,2604,1013.6,24000,24000,210.94,23.708267,120.414429,8,186,1,10,2,3,perhour,wsjwu5gnet3c,-2956255.1764510176,5035908.859535456,2564368.613695933,29
2025,4,1,0,20,40,8990a1,MDA1857,B738,21425,22400,371.9,198.34,3072,2604,1013.6,24000,24000,212.34,23.699799,120.411377,8,186,1,10,2,3,perhour,wsjwu42vk6wr,-2956210.529189616,5036447.280046323,2563533.104387728,29
2025,4,1,0,20,45,8990a1,MDA1857,B738,21625,22675,370.9,198.39,2656,2604,1013.6,24000,24000,212.34,23.692761,120.408861,8,186,1,10,2,3,perhour,wsjwgcph3ff0,-2956187.581464147,5036914.824517045,2562849.4092822107,29
2025,4,1,0,20,50,8990a1,MDA1857,B738,21850,22900,371.3,198.53,2592,2604,1013.6,24000,24000,212.34,23.684382,120.405803,8,186,1,10,2,3,perhour,wsjwezsgd8cc,-2956140.1919981907,5037449.9531603055,2562022.8325644056,29
2025,4,1,0,20,55,8990a1,MDA1857,B738,22050,23075,371.3,198.53,2528,2604,1013.6,24000,24000,212.34,23.676654,120.403005,8,186,1,10,2,3,perhour,wsjwey4y925w,-2956093.765502516,5037934.438855466,2561256.430937254,29
2025,4,1,0,21,0,8990a1,MDA1857,B738,22300,23350,372.2,198.48,2464,2604,1013.6,24000,24000,212.34,23.66684,120.399424,8,186,1,10,2,3,perhour,wsjweu2jmftr,-2956039.689696043,5038563.72221104,2560289.525883408,29
2025,4,1,0,21,5,8990a1,MDA1857,B738,22475,23525,372.2,198.48,2144,2604,1013.6,24000,24000,212.34,23.659383,120.396734,8,186,1,10,2,3,perhour,wsjween1zhxs,-2955996.428784681,5039032.015169544,2559550.618696874,29
2025,4,1,0,21,10,8990a1,MDA1857,B738,22650,23725,373.5,198.58,2048,2604,1013.6,24000,24000,212.34,23.65119,120.393729,8,186,1,10,2,3,perhour,wsjwe9s41jqg,-2955945.538203935,5039550.8582622055,2558739.662212164,29
2025,4,1,0,21,15,8990a1,MDA1857,B738,22800,23875,374.7,198.68,2048,2604,1013.6,24000,24000,212.34,23.643695,120.390982,8,186,1,10,2,3,perhour,wsjwe84n90nw,-2955894.4120210814,5040017.379897138,2557993.705954284,29
2025,4,1,0,21,20,8990a1,MDA1857,B738,22975,24075,376.0,198.77,2080,2604,1013.6,26016,26000,212.34,23.635941,120.388133,8,186,1,10,2,3,perhour,wsjw7qzcqff2,-2955847.136557434,5040511.10331122,2557227.3912083134,29
2025,4,1,0,21,25,8990a1,MDA1857,B738,23150,24275,376.9,198.72,2112,2604,1013.6,26016,26000,212.34,23.627563,120.385081,8,186,1,10,2,3,perhour,wsjw7mm8x8yx,-2955795.990711011,5041039.237805975,2556397.3717977065,29
2025,4,1,0,21,30,8990a1,MDA1857,B738,23350,24500,377.9,198.67,2016,2604,1013.6,26016,26000,212.34,23.617538,120.381419,8,186,1,10,2,3,perhour,wsjw777n4k5v,-2955731.745298027,5041668.141902222,2555402.340340053,29
2025,4,1,0,21,35,8990a1,MDA1857,B738,23500,24650,378.8,198.63,2016,2604,1013.6,26016,26000,212.34,23.609712,120.378545,8,186,1,10,2,3,perhour,wsjw760bx3kc,-2955676.5196398124,5042153.61029737,2554622.370299084,29
2025,4,1,0,21,40,8990a1,MDA1857,B738,23675,24825,380.7,198.53,1792,2604,1013.6,26016,26000,212.34,23.601752,120.375643,8,186,1,10,2,3,perhour,wsjw70wf5v3n,-2955625.286901689,5042651.617421297,2553831.722100974,29
2025,4,1,0,21,45,8990a1,MDA1857,B738,23800,24950,383.0,198.58,1792,2604,1013.6,26016,26000,212.34,23.593872,120.372772,8,186,1,10,2,3,perhour,wsjw5phu2bs2,-2955567.821900737,5043132.816237257,2553043.072928943,29
2025,4,1,0,21,50,8990a1,MDA1857,B738,23925,25075,383.9,198.53,1536,2604,1013.6,26016,26000,212.34,23.585552,120.369735,8,186,1,10,2,3,perhour,wsjw5jdef1e9,-2955505.5589077463,5043639.4032759415,2552209.473459555,29
